posting_id,status,headhunting_company,url,title,company_desc,main_duties,requirements,preferred,career,location,salary,deadline,first_seen_at,last_seen_at,last_fetched_at,score
331552,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331552,(주)헤딩써치 채용 | 백오피스 운영 담당자 경력직 공고 - 리멤버,(주)헤딩써치에서 백오피스 운영 담당자를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
331792,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331792,(주)헤딩써치 채용 | FDE 아키텍트 경력직 공고 - 리멤버,(주)헤딩써치에서 FDE 아키텍트를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
331796,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331796,(주)헤딩써치 채용 | FDE AI전문가 경력직 공고 - 리멤버,(주)헤딩써치에서 FDE AI전문가를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,45
331813,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331813,(주)헤딩써치 채용 | FDE 데이터 전문가 경력직 공고 - 리멤버,(주)헤딩써치에서 FDE 데이터 전문가를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
331833,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/331833,(주)헤딩써치 채용 | FDE 컨설턴트 경력직 공고 - 리멤버,(주)헤딩써치에서 FDE 컨설턴트를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
332621,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/332621,(주)헤딩써치 채용 | BPO영업본부 팀장 경력직 공고 - 리멤버,(주)헤딩써치에서 BPO영업본부 팀장를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,55
332686,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/332686,(주)헤딩써치 채용 | [중견 건설 그룹 계열사 ]세무/회계 담당자 경력직 공고 - 리멤버,(주)헤딩써치에서 [중견 건설 그룹 계열사 ]세무/회계 담당자를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
332910,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/332910,(주)헤딩써치 채용 | [치과 마케팅 회사]퍼포먼스 마케팅 팀원/팀장 경력직 공고 - 리멤버,(주)헤딩써치에서 [치과 마케팅 회사]퍼포먼스 마케팅 팀원/팀장를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,55
332946,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/332946,(주)헤딩써치 채용 | 중소형 태양광 사업개발 PM 경력직 공고 - 리멤버,(주)헤딩써치에서 중소형 태양광 사업개발 PM를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
332974,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/332974,(주)헤딩써치 채용 | [두산그룹] 중화권 C/S - 엔비디아 협력사 경력직 공고 - 리멤버,(주)헤딩써치에서 [두산그룹] 중화권 C/S - 엔비디아 협력사를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
332997,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/332997,(주)헤딩써치 채용 | 기술영업 경력직 공고 - 리멤버,(주)헤딩써치에서 기술영업를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
